name,type,op_full_name,stream_id,block_dim,grid_dim,occurrences,total_duration(us),avg_duration(us),max_duration(us),min_duration(us)
"cuda::elementwise::DoApply<4u, false, cuda::elementwise::TransitFactory<UnaryFunc<(ElwiseOpType)1, float, float> >, float, float>(cuda::elementwise::TransitFactory<UnaryFunc<(ElwiseOpType)1, float, float> >, unsigned int, cuda::elementwise::AlignVec<float, 4u>*, cuda::elementwise::AlignVec<float, 4u> const*, unsigned int, float*, float const*)",cuLaunchKernel,Default/Cos-op10,14,"256,1,1","82,1,1",36,1686.38,46.8439,47.682,46.018
"BinaryWithBroadcastKernel<(BinaryOpType)12, float, float, float>(BinaryFunc<(BinaryOpType)12, float, float, float, std::integral_constant<bool, true> >, unsigned long, unsigned long, BinaryBroadcastStrideInfo, float*, float*, float*)",cuLaunchKernel,Default/Mul-op8,14,"256,1,1","82,1,1",36,2252.13,62.5592,67.491,61.922
"BinaryWithoutBroadcastIn0Scalar<(BinaryOpType)13, float, float, float>(BinaryFunc<(BinaryOpType)13, float, float, float, std::integral_constant<bool, true> >, unsigned long, float*, float*, float*)",cuLaunchKernel,Default/Div-op4,14,"64,1,1","1,1,1",36,96.288,2.67467,3.104,2.623
"BinaryWithoutBroadcastIn1Scalar<(BinaryOpType)13, float, float, float>(BinaryFunc<(BinaryOpType)13, float, float, float, std::integral_constant<bool, true> >, unsigned long, float*, float*, float*)",cuLaunchKernel,Default/Div-op2,14,"64,1,1","1,1,1",36,100.227,2.78408,3.2,2.752
"cuda::elementwise::DoApply<4u, false, cuda::elementwise::TransitFactory<UnaryFunc<(ElwiseOpType)0, float, float> >, float, float>(cuda::elementwise::TransitFactory<UnaryFunc<(ElwiseOpType)0, float, float> >, unsigned int, cuda::elementwise::AlignVec<float, 4u>*, cuda::elementwise::AlignVec<float, 4u> const*, unsigned int, float*, float const*)",cuLaunchKernel,Default/Sin-op11,14,"256,1,1","82,1,1",36,1685.35,46.8154,47.715,46.05
"Concat<float>(unsigned long, int, int, int, int*, float**, float*)",cuLaunchKernel,Default/Concat-op9,14,"1024,1,1","82,1,1",36,1730.99,48.083,49.122,47.298
"cuda::elementwise::DoApply<2u, false, cuda::elementwise::TransitFactory<CastFunctor<long, float> >, float, long>(cuda::elementwise::TransitFactory<CastFunctor<long, float> >, unsigned int, cuda::elementwise::AlignVec<float, 2u>*, cuda::elementwise::AlignVec<long, 2u> const*, unsigned int, float*, long const*)",cuLaunchKernel,Default/Cast-op1,14,"256,1,1","1,1,1",72,197.423,2.74199,3.264,2.528
"BinaryWithoutBroadcastIn0Scalar<(BinaryOpType)14, float, float, float>(BinaryFunc<(BinaryOpType)14, float, float, float, std::integral_constant<bool, true> >, unsigned long, float*, float*, float*)",cuLaunchKernel,Default/Pow-op3,14,"64,1,1","1,1,1",36,183.241,5.09003,5.377,5.024
"Range<long>(long const*, long const*, long const*, long*, long*, long)",cuLaunchKernel,Default/Range-op0,14,"1024,1,1","82,1,1",72,217.354,3.01881,3.393,2.88
"ValidateInputAndInferShape<long>(long const*, long const*, long const*, long*, DynamicRangeErrorCode*, long)",cuLaunchKernel,Default/Range-op0,14,"1,1,1","1,1,1",72,238.668,3.31483,3.936,3.072
